TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,Pad_Col_0,Pad_Col_1,Pad_Col_2,Pad_Col_3
0,158.1999969482422,309.1399841308594,326.1538391113281,326.11614990234375,292.1261291503906,292.1638488769531,16515.818359375,33031.63671875,69.00464630126953,69.0042495727539,1790.2763671875,3580.552734375,1792.9256591796875,3577.9033203125,284.552001953125,62.0,1.8346643173572375e-06,0,0,2574.662353515625,1291.7806396484375,0,23.700000762939453,2705.0,11.830000877380371,11.830000877380371,910.2337036132812,1816.4324951171875,50.0,50.0,100,0,0,346.3753967285156,0,7.924896240234375,20.2215576171875,20.25926399230957,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.3000001907348633,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,100.0,100.0,788.9000244140625,788.9000244140625,788.9000244140625,549.02001953125,0,0,23.700000762939453,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,0.9104048013687134,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
1,158.19033813476562,309.12530517578125,326.1518249511719,326.12664794921875,292.1242370605469,292.1493835449219,16515.818359375,33031.63671875,69.01506805419922,68.99526977539062,1790.602783203125,3727.820068359375,1789.6767578125,3581.15234375,284.549560546875,61.99385070800781,1.1948225164815085e-06,0,0,2574.67333984375,1291.741943359375,0,23.700000762939453,2705.042236328125,11.830011367797852,11.833736419677734,909.8095703125,1830.6510009765625,50.035274505615234,50.02590560913086,100,0,0,346.37347412109375,0,7.924896240234375,20.221660614013672,20.2468204498291,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.299964189529419,0,0,0,0,1.0797373766589098,0,0,0,0.0009064910700544715,0.0,0,0.0009064910700544715,100.05531311035156,100.0015640258789,788.9423217773438,788.9000244140625,788.9000244140625,549.0162353515625,0,0,23.700000762939453,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,2.7312145233154297,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
2,158.16929626464844,309.101806640625,326.1443176269531,326.1336975097656,292.12078857421875,292.13134765625,16515.818359375,33031.63671875,69.017822265625,68.99678802490234,1791.3603515625,3764.827392578125,1792.9423828125,3577.886962890625,284.5389404296875,61.967041015625,1.9944695850426797e-06,0,0,2574.722412109375,1291.716064453125,0,25.92641258239746,2705.915771484375,11.830011367797852,11.838542938232422,908.808837890625,1825.3536376953125,50.04316329956055,50.06880187988281,100,0,0,346.3650817871094,0,7.924896240234375,20.22077751159668,20.23139190673828,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.2992217540740967,0,0,0,0,5.769846272521973,0,0,0,0.002356697339564562,-0.00016549750580452383,0,0.0021911999210715294,100.27687072753906,100.03385925292969,789.225341796875,789.0340576171875,789.0340576171875,549.0728149414062,0,0,25.92641258239746,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,4.552023887634277,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
3,158.14683532714844,309.0823669433594,326.1332702636719,326.13507080078125,292.1158447265625,292.11407470703125,16515.818359375,33031.63671875,69.01837921142578,68.99595642089844,1791.5728759765625,3775.1640625,1793.7034912109375,3577.125732421875,284.524658203125,61.931026458740234,4.739393261843361e-06,0,0,2574.7880859375,1291.6971435546875,0,27.7830810546875,2708.52001953125,11.829922676086426,11.84360122680664,907.9599609375,1822.849365234375,50.01642608642578,50.112152099609375,100,0,0,346.3538513183594,0,7.924896240234375,20.2205753326416,20.218778610229492,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.297011137008667,0,0,0,0,12.05063989970477,0,0,0,0.0035552296321839094,-0.000710818509105593,0,0.0028444111812859774,100.52275848388672,100.130126953125,789.7847290039062,789.4755859375,789.4755859375,549.2833862304688,0,0,27.7830810546875,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,6.372833251953125,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
4,158.1279754638672,309.0676574707031,326.1203308105469,326.13262939453125,292.110107421875,292.097900390625,16515.818359375,33031.63671875,69.01673126220703,68.99285888671875,1792.0606689453125,3778.56103515625,1794.1917724609375,3576.636962890625,284.5108337402344,61.896060943603516,-2.910307557613123e-06,0,0,2574.8515625,1291.676513671875,0,28.132192611694336,2712.27001953125,11.829794883728027,11.848688125610352,907.3788452148438,1821.5205078125,49.987335205078125,50.143951416015625,100,0,0,346.3429870605469,0,7.924896240234375,20.22264289855957,20.210369110107422,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.293835163116455,0,0,0,0,18.119341944365722,0,0,0,0.0044626835733652115,-0.001511337235569954,0,0.0029513463377952576,100.7240982055664,100.26876068115234,790.482177734375,790.123779296875,790.123779296875,549.5990600585938,0,0,28.132192611694336,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,8.193642616271973,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
5,158.1147003173828,309.0578308105469,326.1072692871094,326.1282043457031,292.10400390625,292.08306884765625,16515.818359375,33031.63671875,69.01335144042969,68.98871612548828,1792.6912841796875,3780.117919921875,1794.4443359375,3576.384765625,284.5002136230469,61.8692512512207,-2.1106602616782766e-06,0,0,2574.89990234375,1291.654541015625,0,27.412513732910156,2716.4091796875,11.829641342163086,11.853792190551758,907.0675048828125,1820.833740234375,49.957401275634766,50.171775817871094,100,0,0,346.3347473144531,0,7.924896240234375,20.22749137878418,20.2065372467041,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.290339946746826,0,0,0,0,22.732328331619343,0,0,0,0.005068885628134012,-0.0024028965272009373,0,0.0026659895665943623,100.869384765625,100.42178344726562,791.1980590820312,790.845703125,790.845703125,549.9539184570312,0,0,27.412513732910156,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,10.014452934265137,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
6,158.10702514648438,309.05267333984375,326.0952453613281,326.1233825683594,292.09796142578125,292.0698547363281,16515.818359375,33031.63671875,69.0091552734375,68.98411560058594,1793.3109130859375,3781.06298828125,1794.57861328125,3576.250732421875,284.4932556152344,61.85165786743164,-1.5132658290895051e-06,0,0,2574.93115234375,1291.635498046875,0,26.46182632446289,2720.326416015625,11.82949161529541,11.858914375305176,906.9750366210938,1820.61865234375,49.92829895019531,50.20176315307617,100,0,0,346.3293762207031,0,7.924896240234375,20.23413848876953,20.20599365234375,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.2870419025421143,0,0,0,0,25.7160656525982,0,0,0,0.0053865681402385235,-0.0032518247608095407,0,0.002134743146598339,100.95574951171875,100.56659698486328,791.8394165039062,791.5330810546875,791.5330810546875,550.2938842773438,0,0,26.46182632446289,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,11.8352632522583,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
7,158.1042022705078,309.05157470703125,326.0852355957031,326.11932373046875,292.09234619140625,292.05828857421875,16515.818359375,33031.63671875,69.00482940673828,68.97959899902344,1793.83642578125,3781.641845703125,1794.6510009765625,3576.177734375,284.4896545410156,61.842613220214844,3.5628665955300676e-06,0,0,2574.9462890625,1291.6212158203125,0,25.516124725341797,2723.601318359375,11.82935905456543,11.864055633544922,907.0494995117188,1820.745849609375,49.90351867675781,50.23699951171875,100,0,0,346.3267822265625,0,7.924896240234375,20.24152946472168,20.20745277404785,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.284291982650757,0,0,0,0,27.181423116754058,0,0,0,0.0054534440860152245,-0.003965239506214857,0,0.00148820411413908,100.98397064208984,100.68766021728516,792.343994140625,792.1107788085938,792.1107788085938,550.5811767578125,0,0,25.516124725341797,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,13.656073570251465,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
8,158.10494995117188,309.0530090332031,326.0776062011719,326.1165771484375,292.0873718261719,292.0484619140625,16515.818359375,33031.63671875,69.00088500976562,68.97560119628906,1794.23828125,3781.906494140625,1794.6956787109375,3576.133056640625,284.4888610839844,61.84058380126953,2.903049107771949e-06,0,0,2574.948974609375,1291.608154296875,0,24.693782806396484,2726.033935546875,11.829253196716309,11.86921501159668,907.244873046875,1821.1064453125,49.8848876953125,50.27885818481445,100,0,0,346.3263244628906,0,7.924896240234375,20.24871826171875,20.209758758544922,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.2822535037994385,0,0,0,0,27.432077902563467,0,0,0,0.005365669261664152,-0.004498668015003204,0,0.0008670013048686087,100.98928833007812,100.77759552001953,792.7092895507812,792.5426635742188,792.5426635742188,550.79736328125,0,0,24.693782806396484,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,15.476883888244629,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
9,158.10797119140625,309.0562438964844,326.0723571777344,326.11529541015625,292.083251953125,292.0403137207031,16515.818359375,33031.63671875,68.99757385253906,68.97230529785156,1794.5316162109375,3781.914794921875,1794.7203369140625,3576.1083984375,284.49005126953125,61.84355163574219,-2.4095124899758957e-06,0,0,2574.942626953125,1291.6004638671875,0,24.075576782226562,2727.728271484375,11.829171180725098,11.874390602111816,907.486572265625,1821.5604248046875,49.87177658081055,50.326499938964844,100,0,0,346.3273620605469,0,7.924896240234375,20.25499153137207,20.212064743041992,0,1.034000039100647,0.9067617654800415,50,2.799999952316284,2.2808358669281006,0,0,0,0,26.848825547665086,0,0,0,0.005167120136320591,-0.004872795660048723,0,0.0002943243598565459,100.9765396118164,100.8402328491211,792.952880859375,792.8456420898438,792.8456420898438,550.9500122070312,0,0,24.075576782226562,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999603629112,5655.8173828125,114276.53125,0.0429663360118866,0,3.1392715754918754e-05,17.297693252563477,0,0.0002616529818624258,2.8350639695418067e-05,0,0,23.700000762939453,0,0,1600,0,50,0,0,0,50,50,800,0.0,0.0,0.0,0.0
